window,train_start,train_end,test_start,test_end,momentum_days,top_n,trend_days,volatility_days,target_volatility,max_position,max_group,train_total_return,train_cagr,train_annualized_volatility,train_sharpe,train_max_drawdown,train_final_equity,test_observations,test_return,test_sharpe,test_max_drawdown
1,2010-12-16,2015-12-15,2015-12-16,2016-04-15,252,4,200,60,0.15,0.3,0.5,-0.2140274671169018,-0.04705651320104132,0.06419498265536823,-0.7193888034171539,-0.2326939771681955,0.7859725328830982,83.0,0.0004896576104642669,0.06150876977005934,-0.013189869765517392
2,2011-04-16,2016-04-15,2016-04-16,2016-08-15,252,4,200,60,0.15,0.3,0.5,-0.1999204875596422,-0.04368111562108301,0.06058217248053498,-0.7077870578871638,-0.2036217299453581,0.8000795124403578,84.0,0.004739800470617395,0.21755403842060564,-0.039531833938277194
3,2011-08-16,2016-08-15,2016-08-16,2016-12-15,252,4,200,60,0.15,0.3,0.5,-0.14871827481165412,-0.031693722650742995,0.06319487963309632,-0.47880744145106124,-0.18088297036390544,0.8512817251883459,86.0,-0.05380231439494443,-1.4128841490008015,-0.06580426310900944
4,2011-12-16,2016-12-15,2016-12-16,2017-04-15,126,5,200,60,0.15,0.3,0.5,-0.12739741806128269,-0.02689057669065087,0.07481955970565318,-0.3274465588554834,-0.21890914769287473,0.8726025819387173,81.0,-0.04534734259804807,-0.9678356969446702,-0.07623007889490119
5,2012-04-16,2017-04-15,2017-04-16,2017-08-15,126,5,200,60,0.15,0.3,0.5,-0.1674414450826751,-0.03604983716761012,0.08118339569591536,-0.4115293868047003,-0.20121424193629833,0.8325585549173249,85.0,0.0005781256991368444,0.058714455963566226,-0.045752312015900354
6,2012-08-16,2017-08-15,2017-08-16,2017-12-15,126,5,200,60,0.15,0.3,0.5,-0.00672180004397771,-0.001348911920735052,0.07822834318392322,0.021832474844297747,-0.10509924285903727,0.9932781999560223,86.0,0.04543912273597406,1.2347064901549198,-0.05427458964308296
7,2012-12-16,2017-12-15,2017-12-16,2018-04-15,126,5,200,60,0.15,0.3,0.5,0.05281976196373295,0.010360410371395679,0.08092301443852729,0.1676741042470568,-0.09646139891994987,1.052819761963733,80.0,0.06683504955069108,1.765253200766791,-0.06037817780877908
8,2013-04-16,2018-04-15,2018-04-16,2018-08-15,126,5,200,60,0.15,0.3,0.5,0.12642434249727152,0.024138847515288164,0.08382919125321484,0.32615715932089756,-0.0964613989199502,1.1264243424972715,86.0,-0.050698583529933394,-1.0792402340381,-0.07033505699562137
9,2013-08-16,2018-08-15,2018-08-16,2018-12-15,126,5,200,60,0.15,0.3,0.5,0.038719663701368257,0.007631952395035002,0.08643910406511549,0.13120222966382553,-0.09504830670047582,1.0387196637013683,84.0,0.09955405975577514,1.5181589157183761,-0.057375385423160674
10,2013-12-16,2018-12-15,2018-12-16,2019-04-15,126,5,200,60,0.15,0.3,0.5,0.26878424082250096,0.048825075521964356,0.09982519197937473,0.5272553073081158,-0.09504830670047604,1.268784240822501,82.0,-0.041576015519165566,-1.379571426573354,-0.06698447330444524
