symbol,strategy,cost_bps_per_side,trades,total_return,cagr,annual_volatility,sharpe,max_drawdown,win_rate,ending_multiple,ending_value
SPY,buy_and_hold,,5030,7.463172072849911,0.11293258647724214,0.1943643031317406,0.6478630809950138,-0.5518943699054443,0.5518886679920477,8.463172072849911,846317.2072849912
SPY,intraday,,5031,0.9293540269427367,0.03346583757511823,0.14981468294811684,0.29468307681463574,-0.46666124292374556,0.539455376664679,1.9293540269427367,192935.40269427368
SPY,overnight,0.0,5030,3.3848470434785156,0.07686567725759041,0.11753096200929741,0.6892880837739594,-0.2941350729839346,0.5552683896620279,4.384847043478516,438484.70434785157
SPY,overnight,1.0,5030,0.603364830568218,0.023934081362560145,0.11750745699220516,0.26040057918499676,-0.2976557645923693,0.5353876739562624,1.603364830568218,160336.4830568218
SPY,overnight,2.0,5030,-0.4137719981225788,-0.026400655224317116,0.11748395432573218,-0.16861562382977865,-0.5593822553165843,0.5147117296222664,0.5862280018774212,58622.80018774212
SPY,overnight,5.0,5030,-0.9713643597924744,-0.1630645649211444,0.11741346043002863,-1.4564369385296216,-0.9720312241107185,0.4588469184890656,0.02863564020752567,2863.564020752567
QQQ,buy_and_hold,,5030,20.64093902099867,0.1665316764451812,0.22098955937747555,0.8078027028754228,-0.5340398202448011,0.5560636182902584,21.64093902099867,2164093.902099867
QQQ,intraday,,5031,1.4728533349891602,0.04639363136601249,0.17838076951010112,0.34347004775866,-0.493913404062609,0.5352812562114888,2.47285333498916,247285.333498916
QQQ,overnight,0.0,5030,7.733219031315789,0.11468529961669138,0.1289866882594537,0.9067435618063467,-0.2743175265159753,0.5658051689860835,8.73321903131579,873321.9031315789
QQQ,overnight,1.0,5030,2.1933921784766968,0.05989474116960736,0.12896089221166873,0.5159469479207779,-0.30821253626150313,0.5463220675944334,3.1933921784766968,319339.2178476697
QQQ,overnight,2.0,5030,0.16757950549278022,0.007792243970181634,0.12893509874361744,0.12503306573412354,-0.3530962375281872,0.531610337972167,1.1675795054927802,116757.95054927802
QQQ,overnight,5.0,5030,-0.9429669232348209,-0.13367131489738926,0.12885773381786633,-1.0484126599852233,-0.9463660656132191,0.47892644135188867,0.05703307676517909,5703.3076765179085
IWM,buy_and_hold,,5030,4.54081908999313,0.08956366643691838,0.24484969952818061,0.47327044418904696,-0.5864000618923229,0.5345924453280319,5.54081908999313,554081.908999313
IWM,intraday,,5031,-0.3709813885208335,-0.022953651148170273,0.20153938341636046,-0.01436969468883306,-0.6129967851709491,0.5136155833830253,0.6290186114791665,62901.86114791665
IWM,overnight,0.0,5030,7.771178000557564,0.11492753074110884,0.1402228168592321,0.8462078164071501,-0.288213057177513,0.5536779324055666,8.771178000557564,877117.8000557564
IWM,overnight,1.0,5030,2.207272269545642,0.06012506581370758,0.14019477369808844,0.4867259422217852,-0.30542102896279344,0.5385685884691849,3.207272269545642,320727.2269545642
IWM,overnight,2.0,5030,0.17265439418816886,0.00801124627380978,0.1401667333414011,0.12713619650642538,-0.4578816379894699,0.5214711729622267,1.1726543941881689,117265.43941881688
IWM,overnight,5.0,5030,-0.9427190287529659,-0.133483053895311,0.14008262909807712,-0.9522807015630032,-0.9463405380084396,0.46978131212723656,0.05728097124703408,5728.097124703408
DIA,buy_and_hold,,5030,6.211023130472925,0.10404082359754008,0.18500565754280285,0.6275685887303057,-0.5186838488256169,0.5475149105367794,7.211023130472925,721102.3130472925
DIA,intraday,,5031,0.9126570913082852,0.0330159969247672,0.14038359934504951,0.3015695254450537,-0.4360702952490101,0.535678791492745,1.9126570913082852,191265.70913082853
DIA,overnight,0.0,5030,2.7724865661638427,0.06878094910766919,0.1113165012512001,0.6536429600538598,-0.2875079068808578,0.5518886679920477,3.7724865661638427,377248.6566163843
DIA,overnight,1.0,5030,0.3794488665173146,0.016246744988039685,0.11129423906411488,0.2008119741575571,-0.2915675129775107,0.526441351888668,1.3794488665173146,137944.88665173145
DIA,overnight,2.0,5030,-0.4956409562607563,-0.03371009612830955,0.11127197910335969,-0.2521548950051466,-0.5620814667927417,0.509145129224652,0.5043590437392437,50435.904373924364
DIA,overnight,5.0,5030,-0.9753634352748836,-0.16934798133467477,0.11120521257907423,-1.6118713459488325,-0.9771350393499887,0.44393638170974153,0.024636564725116394,2463.6564725116395
VTI,buy_and_hold,,5030,7.4088829830277785,0.11257382361762902,0.19625855176333576,0.6419579558523753,-0.5545375378487729,0.5500994035785288,8.408882983027778,840888.2983027778
VTI,intraday,,5031,-0.33271389186433975,-0.020059087790472496,0.15314636559638084,-0.05570000015032251,-0.5584166157020647,0.5241502683363148,0.6672861081356602,66728.61081356602
VTI,overnight,0.0,5030,11.618329868693271,0.13542783659549107,0.12048031312966569,1.1150734282669432,-0.30774819129595254,0.5785288270377733,12.618329868693271,1261832.986869327
VTI,overnight,1.0,5030,3.614023278659535,0.07961771219102953,0.1204562182718429,0.6966850650672448,-0.3127147515771661,0.5562624254473161,4.614023278659535,461402.3278659535
VTI,overnight,2.0,5030,0.686995745257728,0.026545669618377454,0.12043212582362636,0.2781711539717795,-0.31764617066715295,0.5389662027833002,1.686995745257728,168699.5745257728
VTI,overnight,5.0,5030,-0.9175948555201756,-0.11755030317083759,0.12035986293661431,-0.978124369180219,-0.9231539174336353,0.4852882703777336,0.0824051444798244,8240.51444798244
