date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2007-06-21,BUY,ISRG,168.0,15.4422,2594.29,0.5881,score=+0.59 sector=robotics,23392.89,112569.97
2007-06-25,STOP,MA,236.0,14.7214,3474.26,,trailing lock hw=18.95% now=14.37%,26865.41,111232.43
2007-06-25,BUY,AXP,70.0,46.0957,3226.7,0.5863,score=+0.59 sector=fintech,23637.1,111230.81
2007-06-26,STOP,INTC,277.0,14.124,3912.36,,trailing lock hw=13.03% now=8.79%,27547.51,110717.15
2007-06-27,BUY,AXP,23.0,45.8943,1055.57,0.7665,score=+0.77 sector=fintech,26491.41,111925.85
2007-06-27,BUY,FDN,129.0,25.8583,3335.73,0.6004,score=+0.60 sector=etf_tech,23154.02,111924.19
2007-06-27,BUY,FIS,34.0,22.3732,760.69,0.564,score=+0.56 sector=fintech,22392.95,111923.81
2007-07-03,SELL,XLK,368.0,10.1035,3718.09,-0.0117,score=-0.01 <= exit_thr=+0.00,26109.18,113234.02
2007-07-03,SELL,QQQ,1374.0,41.4402,56938.87,-0.1347,score=-0.13 <= exit_thr=+0.00,83019.58,113205.55
2007-07-03,BUY,QQQ,1365.0,41.4402,56565.91,-0.1347,benchmark core target=50%,26425.39,113177.27
2007-07-05,SELL,IBM,68.0,56.1491,3818.14,-0.0573,score=-0.06 <= exit_thr=+0.00,30241.62,113715.5
2007-07-05,SELL,QQQ,1365.0,41.7405,56975.73,-0.1263,score=-0.13 <= exit_thr=+0.00,87188.86,113687.01
2007-07-05,BUY,QQQ,1361.0,41.7405,56808.77,-0.1263,benchmark core target=50%,30351.69,113658.61
2007-07-06,SELL,QQQ,1361.0,41.912,57042.27,-0.1037,score=-0.10 <= exit_thr=+0.00,87365.43,113916.66
2007-07-06,BUY,QQQ,1358.0,41.912,56916.53,-0.1037,benchmark core target=50%,30420.44,113888.2
2007-07-06,BUY,SLAB,98.0,34.32,3363.36,0.5911,score=+0.59 sector=semiconductors,27055.4,113886.52
2007-07-09,SELL,QQQ,1358.0,41.9377,56951.46,-0.0844,score=-0.08 <= exit_thr=+0.00,83978.39,114050.38
2007-07-09,BUY,QQQ,1359.0,41.9377,56993.4,-0.0844,benchmark core target=50%,26956.49,114021.88
2007-07-10,SELL,QQQ,1359.0,41.5861,56515.44,-0.0847,score=-0.08 <= exit_thr=+0.00,83443.68,113243.27
2007-07-10,BUY,QQQ,1361.0,41.5861,56598.62,-0.0847,benchmark core target=50%,26816.76,113214.97
2007-07-12,SELL,QQQ,1361.0,42.5125,57859.47,-0.0441,score=-0.04 <= exit_thr=+0.00,84647.3,115106.12
2007-07-12,BUY,QQQ,1353.0,42.5125,57519.37,-0.0441,benchmark core target=50%,27099.17,115077.36
2007-07-12,BUY,MA,223.0,15.2735,3405.98,0.5934,score=+0.59 sector=fintech,23691.49,115075.66
2007-07-13,SELL,LRCX,685.0,4.6076,3156.23,-0.316,score=-0.32 <= exit_thr=+0.00,26846.13,115531.8
2007-07-13,SELL,AXP,93.0,46.978,4368.95,-0.0858,score=-0.09 <= exit_thr=+0.00,31212.9,115529.62
2007-07-13,SELL,QQQ,1353.0,42.8041,57913.98,-0.0074,score=-0.01 <= exit_thr=+0.00,89097.92,115500.66
2007-07-13,BUY,QQQ,1349.0,42.8041,57742.76,-0.0074,benchmark core target=50%,31326.29,115471.79
2007-07-16,SELL,FDN,129.0,26.5952,3430.78,-0.0247,score=-0.02 <= exit_thr=+0.00,34755.35,115364.17
2007-07-16,SELL,QQQ,1349.0,42.7612,57684.91,-0.0309,score=-0.03 <= exit_thr=+0.00,92411.41,115335.33
2007-07-16,BUY,QQQ,1348.0,42.7612,57642.14,-0.0309,benchmark core target=50%,34740.45,115306.51
2007-07-17,SELL,QQQ,1348.0,43.0872,58081.54,-0.0185,score=-0.02 <= exit_thr=+0.00,92792.94,116011.58
2007-07-17,BUY,QQQ,1346.0,43.0872,57995.36,-0.0185,benchmark core target=50%,34768.58,115982.58
2007-07-19,BUY,MPWR,213.0,15.4243,3285.38,0.5657,score=+0.57 sector=semiconductors,31481.56,116164.11
2007-07-20,BUY,QQQ,15.0,42.9328,643.99,0.0113,benchmark core target=50%,30837.25,116904.71
2007-07-23,BUY,AMZN,981.0,3.587,3518.85,0.6008,score=+0.60 sector=mega_cap_tech,27316.64,117233.2
2007-07-24,STOP,TXN,170.0,22.698,3858.66,,trailing lock hw=12.30% now=4.50%,31173.38,115298.14
2007-07-24,STOP,AAPL,882.0,4.038,3561.51,,trailing lock hw=21.05% now=13.59%,34733.1,115296.36
2007-07-25,STOP,ISRG,214.0,22.2411,4759.6,,trailing lock hw=49.43% now=43.78%,39490.32,116045.34
2007-07-25,STOP,SLAB,98.0,35.95,3523.1,,trailing lock hw=9.09% now=4.75%,43011.66,116043.58
2007-07-25,BUY,MA,54.0,14.6575,791.51,0.7017,score=+0.70 sector=fintech,42219.76,116043.18
2007-07-25,BUY,ROK,79.0,47.818,3777.62,0.6525,score=+0.65 sector=robotics,38440.25,116041.29
2007-07-25,BUY,MPWR,42.0,14.5285,610.2,0.6388,score=+0.64 sector=semiconductors,37829.75,116040.99
2007-07-25,BUY,BIDU,188.0,18.323,3444.72,0.5949,score=+0.59 sector=china_tech,34383.3,116039.26
2007-07-25,BUY,ON,295.0,11.53,3401.35,0.5874,score=+0.59 sector=semiconductors,30980.25,116037.56
2007-07-27,STOP,MKSI,183.0,18.9462,3467.15,,stop pl=-14.50% vs -9.37%,34445.67,113393.62
2007-07-27,STOP,FIS,34.0,20.7695,706.16,,stop pl=-7.17% vs -6.45%,35151.48,113393.27
2007-07-27,STOP,QQQ,1361.0,41.1657,56026.58,,stop pl=-4.46% vs -4.00%,91150.04,113365.25
2007-07-27,STOP,MPWR,255.0,13.6498,3480.71,,stop pl=-10.65% vs -10.55%,94629.01,113363.51
2007-07-27,BUY,QQQ,1376.0,41.1657,56644.06,0.4654,benchmark core target=50%,37956.62,113335.19
2007-07-27,BUY,SBAC,109.0,30.4758,3321.86,0.5862,score=+0.59 sector=data_centers,34633.1,113333.53
2007-07-27,BUY,INTC,230.0,14.2207,3270.76,0.5771,score=+0.58 sector=semiconductors,31360.7,113331.9
2007-07-27,BUY,AMT,109.0,29.2792,3191.43,0.564,score=+0.56 sector=data_centers,28167.68,113330.3
2007-07-27,BUY,VGT,518.0,6.1065,3163.18,0.5581,score=+0.56 sector=etf_tech,25002.91,113328.72
2007-07-27,BUY,CEVA,274.0,8.61,2359.14,0.555,score=+0.56 sector=semiconductors,22642.59,113327.54
2007-07-30,STOP,AMZN,981.0,4.135,4056.44,,trailing lock hw=20.13% now=15.28%,26697.0,114685.7
2007-07-30,BUY,SLAB,104.0,35.82,3725.28,0.8295,score=+0.83 sector=semiconductors,22969.86,114683.84
2007-08-01,STOP,BIDU,188.0,20.068,3772.78,,trailing lock hw=14.20% now=9.52%,26740.76,113123.8
2007-08-01,BUY,CIEN,106.0,35.97,3812.82,0.6763,score=+0.68 sector=other,22926.03,113121.9
2007-08-02,STOP,MA,277.0,12.9761,3594.39,,stop pl=-14.37% vs -12.00%,26518.62,114134.43
2007-08-02,BUY,AAPL,780.0,4.0859,3186.99,0.5589,score=+0.56 sector=mega_cap_tech,23330.04,114132.84
2007-08-03,SELL,QQQ,1376.0,40.6768,55971.26,-0.017,score=-0.02 <= exit_thr=+0.00,79273.31,111953.17
2007-08-03,SELL,VGT,518.0,6.0226,3119.72,-0.059,score=-0.06 <= exit_thr=+0.00,82391.47,111951.61
2007-08-03,BUY,QQQ,1376.0,40.6768,55971.26,-0.017,benchmark core target=50%,26392.23,111923.63
2007-08-06,BUY,XLK,387.0,10.0064,3872.46,0.7606,score=+0.76 sector=etf_tech,22517.83,112589.6
2007-08-08,SELL,INTC,230.0,14.979,3445.18,-0.0021,score=-0.00 <= exit_thr=+0.00,25961.29,114300.27
2007-08-08,SELL,SLAB,104.0,36.42,3787.68,-0.0087,score=-0.01 <= exit_thr=+0.00,29747.08,114298.38
2007-08-08,SELL,QQQ,1376.0,41.8948,57647.3,-0.0814,score=-0.08 <= exit_thr=+0.00,87365.55,114269.55
2007-08-08,SELL,XLK,387.0,10.1812,3940.13,-0.1231,score=-0.12 <= exit_thr=+0.00,91303.72,114267.58
2007-08-08,BUY,QQQ,1363.0,41.8948,57102.67,-0.0814,benchmark core target=50%,34172.5,114239.03
2007-08-09,SELL,QQQ,1363.0,40.9255,55781.52,-0.1392,score=-0.14 <= exit_thr=+0.00,89926.13,112224.69
2007-08-09,BUY,QQQ,1371.0,40.9255,56108.93,-0.1392,benchmark core target=50%,33789.15,112196.63
2007-08-09,BUY,CEVA,158.0,7.88,1245.04,0.6074,score=+0.61 sector=semiconductors,32543.49,112196.01
2007-08-10,BUY,ROK,21.0,44.4661,933.79,0.7989,score=+0.80 sector=robotics,31609.23,111838.93
2007-08-10,BUY,MPWR,219.0,15.5352,3402.21,0.6099,score=+0.61 sector=semiconductors,28205.32,111837.23
2007-08-10,BUY,ASML,123.0,26.407,3248.06,0.583,score=+0.58 sector=ai_infra,24955.63,111835.6
2007-08-10,BUY,SWKS,447.0,5.7912,2588.65,0.5782,score=+0.58 sector=semiconductors,22365.69,111834.31
2007-08-13,SELL,ON,295.0,11.37,3354.15,-0.0116,score=-0.01 <= exit_thr=+0.00,25718.16,112704.8
2007-08-13,BUY,NVDA,4775.0,0.6648,3174.52,0.5634,score=+0.56 sector=mega_cap_tech,22542.05,112703.22
2007-08-14,SELL,SBAC,109.0,28.3967,3095.24,-0.014,score=-0.01 <= exit_thr=+0.00,25635.73,111354.09
2007-08-14,SELL,AMT,109.0,28.3254,3087.47,-0.1721,score=-0.17 <= exit_thr=+0.00,28721.66,111352.55
2007-08-14,SELL,CEVA,432.0,8.3,3585.6,-0.0173,score=-0.02 <= exit_thr=+0.00,32305.47,111350.75
2007-08-14,SELL,SWKS,447.0,5.8694,2623.63,-0.0534,score=-0.05 <= exit_thr=+0.00,34927.79,111349.44
2007-08-14,BUY,QQQ,16.0,40.1364,642.18,0.0736,benchmark core target=50%,34285.29,111349.12
2007-08-15,STOP,AAPL,780.0,3.5893,2799.62,,stop pl=-12.15% vs -11.24%,37083.51,109542.54
2007-08-15,BUY,AMAT,266.0,15.0708,4008.82,0.7346,score=+0.73 sector=semiconductors,33072.68,109540.53
2007-08-15,BUY,SAP,79.0,38.2378,3020.79,0.5541,score=+0.55 sector=software,30050.38,109539.02
2007-08-16,BUY,ORCL,221.0,15.2499,3370.23,0.6195,score=+0.62 sector=software,26678.47,109008.2
2007-08-16,BUY,GOOG,266.0,12.1351,3227.94,0.5942,score=+0.59 sector=mega_cap_tech,23448.91,109006.58
2007-08-16,BUY,GOOGL,135.0,12.1922,1645.95,0.5942,score=+0.59 sector=mega_cap_tech,21802.14,109005.76
2007-08-20,SELL,QQQ,1387.0,39.9134,55359.82,-0.0073,score=-0.01 <= exit_thr=+0.00,77134.28,111172.17
2007-08-20,BUY,QQQ,1375.0,39.9134,54880.86,-0.0073,benchmark core target=50%,22225.98,111144.73
2007-08-21,SELL,QQQ,1375.0,40.3337,55458.79,-0.1888,score=-0.19 <= exit_thr=+0.00,77657.04,111955.94
2007-08-21,BUY,QQQ,1370.0,40.3337,55257.12,-0.1888,benchmark core target=50%,22372.29,111928.31
2007-08-22,SELL,GOOG,266.0,12.6593,3367.37,-0.2701,score=-0.27 <= exit_thr=+0.00,25737.97,113082.55
2007-08-22,SELL,GOOGL,135.0,12.7188,1717.04,-0.2701,score=-0.27 <= exit_thr=+0.00,27454.15,113081.69
2007-08-22,SELL,QQQ,1370.0,40.8827,56009.23,-0.3394,score=-0.34 <= exit_thr=+0.00,83435.38,113053.69
2007-08-22,BUY,QQQ,1382.0,40.8827,56499.83,-0.3394,benchmark core target=50%,26907.31,113025.44
2007-08-23,SELL,ROK,100.0,45.9267,4592.67,-0.0185,score=-0.02 <= exit_thr=+0.00,31497.68,112840.92
2007-08-23,SELL,ASML,123.0,26.6795,3281.58,-0.035,score=-0.03 <= exit_thr=+0.00,34777.62,112839.27
2007-08-23,SELL,ORCL,221.0,15.4332,3410.73,-0.181,score=-0.18 <= exit_thr=+0.00,38186.64,112837.57
2007-08-23,SELL,QQQ,1382.0,40.7711,56345.73,-0.463,score=-0.46 <= exit_thr=+0.00,94504.2,112809.4
2007-08-23,BUY,QQQ,1383.0,40.7711,56386.5,-0.463,benchmark core target=50%,38089.51,112781.2
2007-08-24,SELL,QQQ,1383.0,41.3459,57181.33,-0.4004,score=-0.40 <= exit_thr=+0.00,95242.25,113782.62
2007-08-24,BUY,QQQ,1375.0,41.3459,56850.56,-0.4004,benchmark core target=50%,38363.26,113754.2
2007-08-27,SELL,QQQ,1375.0,41.0714,56473.13,-0.4521,score=-0.45 <= exit_thr=+0.00,94808.15,113302.99
2007-08-27,BUY,QQQ,1379.0,41.0714,56637.42,-0.4521,benchmark core target=50%,38142.42,113274.67
2007-08-28,STOP,NVDA,4775.0,0.7079,3380.28,,trailing lock hw=13.40% now=6.48%,41521.0,111398.77
2007-08-28,SELL,QQQ,1379.0,40.0935,55288.91,-0.3868,score=-0.39 <= exit_thr=+0.00,96782.27,111371.13
2007-08-28,BUY,QQQ,1388.0,40.0935,55649.75,-0.3868,benchmark core target=50%,41104.69,111343.3
2007-08-29,SELL,QQQ,1388.0,41.2429,57245.2,-0.1202,score=-0.12 <= exit_thr=+0.00,98321.27,113363.36
2007-08-29,BUY,QQQ,1374.0,41.2429,56667.8,-0.1202,benchmark core target=50%,41625.14,113335.03
2007-08-29,BUY,INTC,206.0,15.2279,3136.95,0.5547,score=+0.55 sector=semiconductors,38486.62,113333.46
2007-08-30,SELL,QQQ,1374.0,41.4574,56962.45,-0.4228,score=-0.42 <= exit_thr=+0.00,95420.59,113523.23
2007-08-30,BUY,QQQ,1369.0,41.4574,56755.16,-0.4228,benchmark core target=50%,38637.05,113494.85
2007-09-04,SELL,SAP,79.0,39.775,3142.22,-0.0059,score=-0.01 <= exit_thr=+0.00,41777.7,115563.24
2007-09-05,SELL,QQQ,1369.0,42.1865,57753.31,-0.1947,score=-0.19 <= exit_thr=+0.00,99502.14,114867.96
2007-09-05,BUY,QQQ,1361.0,42.1865,57415.82,-0.1947,benchmark core target=50%,42057.61,114839.25
2007-09-06,SELL,QQQ,1361.0,42.1522,57369.15,-0.059,score=-0.06 <= exit_thr=+0.00,99398.07,114873.4
2007-09-06,BUY,QQQ,1362.0,42.1522,57411.3,-0.059,benchmark core target=50%,41958.07,114844.69
2007-09-07,SELL,QQQ,1362.0,41.3716,56348.13,-0.018,score=-0.02 <= exit_thr=+0.00,98278.02,113442.1
2007-09-07,BUY,QQQ,1371.0,41.3716,56720.47,-0.018,benchmark core target=50%,41529.19,113413.74
2007-09-10,BUY,EA,67.0,50.3182,3371.32,0.5986,score=+0.60 sector=other,38156.18,113418.44
2007-09-13,STOP,MPWR,219.0,17.7533,3887.98,,trailing lock hw=20.48% now=14.28%,42042.22,114548.42
2007-09-17,BUY,ROP,60.0,55.1551,3309.31,0.586,score=+0.59 sector=other,38731.26,113987.93
2007-09-18,BUY,ASML,131.0,29.1511,3818.79,0.6615,score=+0.66 sector=ai_infra,34910.55,115941.73
2007-09-19,SELL,QQQ,1371.0,43.0357,59002.0,-0.0745,score=-0.07 <= exit_thr=+0.00,93883.06,116133.03
2007-09-19,BUY,QQQ,1349.0,43.0357,58055.22,-0.0745,benchmark core target=50%,35798.81,116104.01
2007-09-20,SELL,QQQ,1349.0,42.9156,57893.2,-0.0779,score=-0.08 <= exit_thr=+0.00,93663.07,115910.53
2007-09-20,BUY,QQQ,1350.0,42.9156,57936.12,-0.0779,benchmark core target=50%,35697.98,115881.56
2007-09-28,SELL,QQQ,1350.0,44.1223,59565.15,-0.0145,score=-0.01 <= exit_thr=+0.00,95233.34,117767.52
