start_date: 2021-07-09
end_date: 2026-07-09
start_capital: 100000.0000
final_equity: 168761.4600
total_return: 68.76%
cagr: 11.04%
sharpe: 0.8857
max_drawdown: -21.26%
trades: 1649
buys: 885
sells: 349
stops: 415
closed_win_rate: 64.14%
open_positions: 10
symbols: 227
cost_bps: 5.0000
walk_forward_windows: 29
walk_forward_train_window_days: 756
walk_forward_test_window_days: 63
