start_date: 2006-07-13
end_date: 2026-07-13
start_capital: 100000.0000
final_equity: 1737371.4900
total_return: 1637.37%
cagr: 15.34%
sharpe: 0.2705
max_drawdown: -58.45%
profit_days: 446
loss_days: 521
flat_days: 4062
loss_day_rate: 10.36%
avg_loss_day_return: -2.82%
worst_day_return: -23.39%
trades: 321
buys: 161
sells: 160
stops: 0
closed_win_rate: 45.00%
open_positions: 1
symbols: 233
cost_bps: 5.0000
