date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2008-08-29,BUY,QUBT,55.0,360.0,19800.0,1.0,score=+1.00 sector=quantum,80190.1,99990.1
2008-09-02,SELL,QUBT,55.0,360.0,19800.0,0.0,score=+0.00 <= exit_thr=+0.00,99980.2,99980.2
2009-11-23,BUY,MELI,2125.0,47.0061,99887.92,1.0,score=+1.00 sector=other,42.33,99930.26
2009-11-25,SELL,MELI,2125.0,47.8491,101679.35,0.0,score=+0.00 <= exit_thr=+0.00,101670.84,101670.84
2009-12-02,BUY,MELI,1926.0,52.7619,101619.45,1.0,score=+1.00 sector=other,0.58,101620.04
2009-12-04,SELL,MELI,1926.0,50.0875,96468.49,0.0,score=+0.00 <= exit_thr=+0.00,96420.84,96420.84
2010-01-21,BUY,ACLS,14007.0,6.88,96368.16,1.0,score=+1.00 sector=semiconductors,4.49,96372.66
2010-01-22,SELL,ACLS,14007.0,6.4,89644.8,0.0,score=+0.00 <= exit_thr=+0.00,89604.47,89604.47
2010-01-25,BUY,STX,9161.0,9.7754,89552.48,1.0,score=+1.00 sector=cloud_infra,7.21,89559.7
2010-01-28,SELL,STX,9161.0,9.4861,86901.91,0.0,score=+0.00 <= exit_thr=+0.00,86865.67,86865.67
2010-01-28,BUY,ACLS,14186.0,6.12,86818.32,1.0,score=+1.00 sector=semiconductors,3.94,86822.26
2010-02-01,SELL,ACLS,14186.0,6.32,89655.52,0.0,score=+0.00 <= exit_thr=+0.00,89614.64,89614.64
2010-02-02,BUY,ACLS,12722.0,7.04,89562.88,1.0,score=+1.00 sector=semiconductors,6.98,89569.86
2010-02-05,SELL,ACLS,12722.0,6.36,80911.92,0.0,score=+0.00 <= exit_thr=+0.00,80878.44,80878.44
2010-02-19,BUY,ENTG,16310.0,4.9562,80835.86,1.0,score=+1.00 sector=semiconductors,2.17,80838.03
2010-02-22,SELL,ENTG,16310.0,4.9562,80835.86,0.0,score=+0.00 <= exit_thr=+0.00,80797.61,80797.61
2010-02-22,BUY,ACLS,11603.0,6.96,80756.88,1.0,score=+1.00 sector=semiconductors,0.35,80757.23
2010-02-23,SELL,ACLS,11603.0,6.72,77972.16,0.0,score=+0.00 <= exit_thr=+0.00,77933.52,77933.52
2010-02-23,BUY,ENTG,17358.0,4.4874,77891.98,1.0,score=+1.00 sector=semiconductors,2.59,77894.57
2010-02-24,SELL,ENTG,17358.0,4.3917,76231.21,0.0,score=+0.00 <= exit_thr=+0.00,76195.68,76195.68
2010-02-24,BUY,ACLS,11539.0,6.6,76157.4,1.0,score=+1.00 sector=semiconductors,0.21,76157.6
2010-03-01,SELL,ACLS,11539.0,6.84,78926.76,0.0,score=+0.00 <= exit_thr=+0.00,78887.5,78887.5
2010-03-02,BUY,ENTG,17240.0,4.5735,78847.07,1.0,score=+1.00 sector=semiconductors,1.01,78848.08
2010-03-04,SELL,ENTG,17240.0,4.6405,80001.72,0.0,score=+0.00 <= exit_thr=+0.00,79962.73,79962.73
2010-03-04,BUY,ACLS,11684.0,6.84,79918.56,1.0,score=+1.00 sector=semiconductors,4.21,79922.77
2010-03-23,SELL,ACLS,11684.0,6.56,76647.04,0.0,score=+0.00 <= exit_thr=+0.00,76612.92,76612.92
2010-03-23,BUY,ENTG,16038.0,4.7744,76572.19,1.0,score=+1.00 sector=semiconductors,2.45,76574.64
2010-03-26,SELL,ENTG,16038.0,4.7744,76572.19,0.0,score=+0.00 <= exit_thr=+0.00,76536.35,76536.35
