start_date: 2006-07-13
end_date: 2026-07-13
start_capital: 100000.0000
final_equity: 8820201.5900
total_return: 8720.20%
cagr: 25.10%
sharpe: 0.3291
max_drawdown: -68.64%
profit_days: 717
loss_days: 763
flat_days: 3549
loss_day_rate: 15.17%
avg_loss_day_return: -2.81%
worst_day_return: -23.39%
trades: 437
buys: 219
sells: 218
stops: 0
closed_win_rate: 48.62%
open_positions: 1
symbols: 233
cost_bps: 5.0000
