start_date: 2025-07-14
end_date: 2026-07-13
start_capital: 100000.0000
final_equity: 130358.8400
total_return: 30.36%
cagr: 30.48%
sharpe: 1.7966
max_drawdown: -6.84%
profit_days: 147
loss_days: 103
flat_days: 0
loss_day_rate: 41.20%
avg_loss_day_return: -0.78%
worst_day_return: -3.67%
trades: 368
buys: 203
sells: 56
stops: 109
closed_win_rate: 61.82%
open_positions: 10
symbols: 211
cost_bps: 5.0000
walk_forward_windows: 6
walk_forward_train_window_days: 756
walk_forward_test_window_days: 63
