,return
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,0.0
2016-01-07,0.0
2016-01-08,0.0
2016-01-11,0.0
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,0.0
2016-01-15,0.0
2016-01-19,0.0
2016-01-20,0.0
2016-01-21,0.0
2016-01-22,0.0
2016-01-25,0.0
2016-01-26,0.0
2016-01-27,0.0
2016-01-28,0.0
2016-01-29,0.0
2016-02-01,0.0
2016-02-02,0.0
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,0.0
2016-02-08,0.0
2016-02-09,0.0
2016-02-10,0.0
2016-02-11,0.0
2016-02-12,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,0.0
2016-02-29,0.0
2016-03-01,-0.00024999999999997247
2016-03-02,0.0019317391696702657
2016-03-03,0.004318341435975759
2016-03-04,-0.0003934449517998262
2016-03-07,0.001244397024979138
2016-03-08,-0.001155682601566843
2016-03-09,-0.002073312292284357
2016-03-10,0.0040140452825421225
2016-03-11,-0.004300403987429258
2016-03-14,-0.0032241873969892643
2016-03-15,0.000190880495023249
2016-03-16,0.005573917586110255
2016-03-17,-0.0009536427117547985
2016-03-18,-0.0006867439632167738
2016-03-21,-0.001752929770215128
2016-03-22,0.0007355381573947994
2016-03-23,-0.00565752452328272
2016-03-24,-0.0006002889499858721
2016-03-28,0.0005802386289361916
2016-03-29,0.004631225751235313
2016-03-30,-0.0034944502194542704
2016-03-31,0.0011528627723396134
2016-04-01,-0.001508838592647943
2016-04-04,-0.0016676618003531596
2016-04-05,0.0032501121747596784
2016-04-06,-0.0015298342646045127
2016-04-07,0.0035702029546778036
2016-04-08,-0.00037939529603225886
2016-04-11,0.003377519357422365
2016-04-12,4.1665151762959596e-05
2016-04-13,-0.00266556929644457
2016-04-14,-0.003494140101947485
2016-04-15,0.0017291383194693033
2016-04-18,-0.00038161530692604195
2016-04-19,0.003906922033016569
2016-04-20,-0.0012752981288907117
2016-04-21,0.0009456101194103006
2016-04-22,-0.003202978568824788
2016-04-25,0.0007210195288944732
2016-04-26,0.0009938120146408824
2016-04-27,0.0007160993597863374
2016-04-28,0.0047253023830129415
